6,0,2,9,16,5,15,18,3,11,13,12,14,4,8,1,17,19,10,7
7,3,17,11,12,15,5,10,4,13,9,6,14,0,8,18,19,16,2,1
13,12,15,11,16,3,9,10,7,18,5,4,1,17,19,8,6,0,14,2
13,9,4,5,10,2,14,17,11,15,12,6,3,1,7,16,19,8,0,18
10,0,15,5,12,1,14,16,17,4,19,2,9,6,7,8,3,11,13,18
19,2,16,7,3,4,1,13,5,0,12,14,11,9,6,18,10,17,15,8
15,18,2,13,17,7,10,5,3,12,16,6,8,0,1,11,19,14,4,9
16,18,8,9,2,7,14,3,15,1,17,5,6,0,11,4,10,12,19,13
13,3,17,8,2,1,14,11,5,16,15,12,19,18,9,7,6,10,0,4
13,10,6,7,16,14,11,18,3,19,2,5,1,12,0,15,8,9,17,4
17,3,8,18,9,15,7,12,11,4,19,0,2,5,10,1,16,13,6,14
16,8,5,19,10,7,13,12,14,9,17,6,2,18,3,15,1,11,0,4
2,19,16,13,15,4,18,14,0,6,17,8,10,11,7,1,12,9,3,5
17,4,10,8,9,2,1,0,7,11,19,6,13,5,12,18,15,14,3,16
5,4,11,9,19,13,1,18,16,8,0,3,10,12,17,14,7,15,6,2
10,7,19,2,8,14,3,17,9,6,12,13,18,1,16,0,4,11,5,15
5,3,14,10,9,17,12,0,1,13,8,11,19,7,16,18,2,6,15,4
18,4,1,8,14,12,15,16,0,17,9,13,3,11,19,10,7,5,2,6
4,7,1,17,13,11,3,14,18,6,5,16,0,8,2,15,10,19,12,9
13,0,12,18,5,11,17,4,6,7,2,14,19,8,9,3,16,10,15,1
2,17,14,19,7,15,18,16,8,1,3,6,5,12,9,10,0,13,11,4
17,9,13,4,8,7,14,19,11,6,2,16,12,18,3,10,0,15,1,5
9,14,8,0,2,1,4,6,10,3,13,18,7,15,12,17,5,19,11,16
11,10,15,1,12,7,16,14,3,17,8,13,9,0,6,4,18,19,5,2
10,16,4,13,15,8,11,7,17,5,2,14,6,3,1,19,18,9,0,12
9,19,0,11,13,3,1,10,4,16,8,6,2,12,7,15,5,18,14,17
9,10,5,16,13,18,7,14,19,2,3,12,1,6,11,17,15,4,0,8
7,3,5,11,6,4,14,12,0,2,8,9,17,1,18,19,10,15,13,16
19,2,12,10,8,13,0,11,7,5,15,1,16,6,17,3,14,18,9,4
1,10,18,2,7,11,17,5,19,8,14,9,0,4,13,15,16,12,6,3
17,16,11,6,4,8,15,18,13,0,3,14,19,9,1,10,7,5,2,12
18,7,14,12,3,8,19,16,13,4,2,17,5,11,1,0,15,10,6,9
5,18,4,15,6,17,3,7,14,8,11,0,10,13,12,2,9,1,19,16
8,9,13,17,3,11,15,12,7,18,1,14,4,6,2,10,16,19,0,5
10,7,2,5,6,8,17,0,18,12,13,3,9,15,19,16,4,14,1,11
14,18,13,1,17,19,7,11,16,3,5,6,2,9,0,4,12,8,15,10
10,6,8,4,5,7,15,19,9,1,16,11,13,14,2,17,0,18,12,3
3,15,10,18,1,13,16,12,0,5,9,8,17,2,14,19,6,4,7,11
12,17,0,15,2,7,6,3,8,14,18,13,16,5,1,19,9,11,10,4
9,12,1,13,17,4,18,15,5,11,7,19,6,16,0,14,2,10,8,3
6,19,7,2,12,17,5,4,9,16,18,0,8,14,10,13,15,11,1,3
14,5,1,3,8,15,12,6,7,18,10,17,4,9,16,13,2,11,19,0
15,13,10,17,9,6,16,11,5,2,19,3,4,7,8,12,1,18,14,0
13,18,19,16,6,17,5,12,7,3,8,1,10,2,4,11,15,0,9,14
16,17,11,7,14,2,12,6,15,1,3,8,4,10,18,0,13,19,5,9
8,1,15,0,4,17,2,14,9,16,13,7,6,18,10,5,11,3,19,12
12,19,15,13,18,2,4,14,3,8,6,17,5,1,7,10,9,0,11,16
14,13,17,5,0,15,9,18,16,8,6,12,11,10,7,4,19,1,2,3
10,2,5,8,1,11,0,9,15,13,16,17,12,7,14,3,4,18,6,19
5,18,8,9,7,2,6,11,0,16,10,14,4,19,15,3,17,13,1,12
